full_name;name;owner;url;stars;forks;data-origin
scaffold-eth/scaffold-eth-2;scaffold-eth-2;scaffold-eth;https://github.com/scaffold-eth/scaffold-eth-2;1808;1143;burner-connector-dependents-webscraping
BuidlGuidl/abi.ninja;abi.ninja;BuidlGuidl;https://github.com/BuidlGuidl/abi.ninja;215;100;burner-connector-dependents-webscraping
buildbearlabs/tutorials;tutorials;buildbearlabs;https://github.com/buildbearlabs/tutorials;188;232;github-api-scaffold-config
Scaffold-Stark/scaffold-stark-2;scaffold-stark-2;Scaffold-Stark;https://github.com/Scaffold-Stark/scaffold-stark-2;100;171;github-api-scaffold-config
balancer/scaffold-balancer-v3;scaffold-balancer-v3;balancer;https://github.com/balancer/scaffold-balancer-v3;89;90;github-api-scaffold-config
nrxschool/hackathon-op-template;hackathon-op-template;nrxschool;https://github.com/nrxschool/hackathon-op-template;59;59;github-api-scaffold-config
Arb-Stylus/scaffold-stylus;scaffold-stylus;Arb-Stylus;https://github.com/Arb-Stylus/scaffold-stylus;37;31;github-api-burner-connector
govardhan666/eduverse;eduverse;govardhan666;https://github.com/govardhan666/eduverse;37;8;github-api-scaffold-config
buidlguidl/scaffold-base;scaffold-base;buidlguidl;https://github.com/buidlguidl/scaffold-base;32;;openq
uniswapfoundation/scaffold-hook;scaffold-hook;uniswapfoundation;https://github.com/uniswapfoundation/scaffold-hook;28;19;github-api-scaffold-config
arjanjohan/scaffold-move;scaffold-move;arjanjohan;https://github.com/arjanjohan/scaffold-move;27;5;burner-connector-dependents-webscraping
hyperweb-io/interchain-ui;interchain-ui;hyperweb-io;https://github.com/hyperweb-io/interchain-ui;23;13;github-api-scaffold-config
monad-developers/scaffold-eth-monad;scaffold-eth-monad;monad-developers;https://github.com/monad-developers/scaffold-eth-monad;21;38;burner-connector-dependents-webscraping
BuidlGuidl/SpeedRunEthereum-v2;SpeedRunEthereum-v2;BuidlGuidl;https://github.com/BuidlGuidl/SpeedRunEthereum-v2;20;17;burner-connector-dependents-webscraping
simarpreetsingh-019/TIProjects;TIProjects;simarpreetsingh-019;https://github.com/simarpreetsingh-019/TIProjects;19;26;burner-connector-dependents-webscraping
