full_name,name,owner,url,stars,forks
"mattsk123/signatorio","signatorio","mattsk123","https://github.com/mattsk123/signatorio",1,0
"mattsk123/scaffold-eth-2","scaffold-eth-2","mattsk123","https://github.com/mattsk123/scaffold-eth-2",1,0
"nirwanadoteth/buidlguidl-challenges","buidlguidl-challenges","nirwanadoteth","https://github.com/nirwanadoteth/buidlguidl-challenges",1,0
"alialobidm/solid-octo-journey","solid-octo-journey","alialobidm","https://github.com/alialobidm/solid-octo-journey",0,0
"FanPassport/fanpassport-website","fanpassport-website","FanPassport","https://github.com/FanPassport/fanpassport-website",1,0
"ASISBusiness/signator.io","signator.io","ASISBusiness","https://github.com/ASISBusiness/signator.io",0,0
"BuidlGuidl/Eth-Splitter","Eth-Splitter","BuidlGuidl","https://github.com/BuidlGuidl/Eth-Splitter",6,8
"rsksmart/rsk-scaffold","rsk-scaffold","rsksmart","https://github.com/rsksmart/rsk-scaffold",0,0
"AshiqAhamed17/Smart-contract-security","Smart-contract-security","AshiqAhamed17","https://github.com/AshiqAhamed17/Smart-contract-security",1,0
"Buildathon/TalentRise","TalentRise","Buildathon","https://github.com/Buildathon/TalentRise",2,0
"Arb-Stylus/create-stylus","create-stylus","Arb-Stylus","https://github.com/Arb-Stylus/create-stylus",1,0
"olivmath/1","1","olivmath","https://github.com/olivmath/1",1,0
"nichechristie/Scafffold-","Scafffold-","nichechristie","https://github.com/nichechristie/Scafffold-",0,0
"DELIGHT-LABS/monad-go","monad-go","DELIGHT-LABS","https://github.com/DELIGHT-LABS/monad-go",0,0
"ppezzull/zkMed","zkMed","ppezzull","https://github.com/ppezzull/zkMed",1,0
"Hawthorne001/scaffold-eth-2","scaffold-eth-2","Hawthorne001","https://github.com/Hawthorne001/scaffold-eth-2",0,0
"monad-developers/scaffold-monad-foundry","scaffold-monad-foundry","monad-developers","https://github.com/monad-developers/scaffold-monad-foundry",2,2
"monad-developers/scaffold-monad-hardhat","scaffold-monad-hardhat","monad-developers","https://github.com/monad-developers/scaffold-monad-hardhat",3,7
"FhenixProtocol/rps-cofhe-scaffold-example","rps-cofhe-scaffold-example","FhenixProtocol","https://github.com/FhenixProtocol/rps-cofhe-scaffold-example",0,0
"Agooni1/Graphiti","Graphiti","Agooni1","https://github.com/Agooni1/Graphiti",0,0
"abrahem79/Amer","Amer","abrahem79","https://github.com/abrahem79/Amer",0,0
"SCARPxVeNOM/productivefi","productivefi","SCARPxVeNOM","https://github.com/SCARPxVeNOM/productivefi",0,0
"tlukanie/GlobalEth","GlobalEth","tlukanie","https://github.com/tlukanie/GlobalEth",1,0
"OwnerOfJK/zkDev","zkDev","OwnerOfJK","https://github.com/OwnerOfJK/zkDev",0,0
"chevoisiatesalvati/DnAI","DnAI","chevoisiatesalvati","https://github.com/chevoisiatesalvati/DnAI",1,0
"ArK2588/prompt_guesser","prompt_guesser","ArK2588","https://github.com/ArK2588/prompt_guesser",0,2
"gamagamagama/rizzerve","rizzerve","gamagamagama","https://github.com/gamagamagama/rizzerve",0,0
"decenzio/unlloo","unlloo","decenzio","https://github.com/decenzio/unlloo",2,0
"hamiha70/detox-hook","detox-hook","hamiha70","https://github.com/hamiha70/detox-hook",4,5
"zk-rakers/eth-global-p-25","eth-global-p-25","zk-rakers","https://github.com/zk-rakers/eth-global-p-25",0,0
"Kirillr-Sibirski/ethprague","ethprague","Kirillr-Sibirski","https://github.com/Kirillr-Sibirski/ethprague",0,0
"Aimable01/ticketProof","ticketProof","Aimable01","https://github.com/Aimable01/ticketProof",0,0
"velikanghost/goldrush","goldrush","velikanghost","https://github.com/velikanghost/goldrush",0,0
"kmjones1979/rgb-nft","rgb-nft","kmjones1979","https://github.com/kmjones1979/rgb-nft",0,0
"shurko-net/cryptocrash","cryptocrash","shurko-net","https://github.com/shurko-net/cryptocrash",0,0
"MilosJolovic123/blc-hak","blc-hak","MilosJolovic123","https://github.com/MilosJolovic123/blc-hak",1,0
"Njine/scaffold-eth-2","scaffold-eth-2","Njine","https://github.com/Njine/scaffold-eth-2",0,0
"baidang201/x-diamond-ring-front","x-diamond-ring-front","baidang201","https://github.com/baidang201/x-diamond-ring-front",0,0
"heulwen18/challenge-2-token-vendor","challenge-2-token-vendor","heulwen18","https://github.com/heulwen18/challenge-2-token-vendor",0,0
"builders-garden/urbe-campus-prague","urbe-campus-prague","builders-garden","https://github.com/builders-garden/urbe-campus-prague",0,0
"Dablclub/onchain-fundamentals-demo","onchain-fundamentals-demo","Dablclub","https://github.com/Dablclub/onchain-fundamentals-demo",1,0
"StarsFaLL7/distrib-ledger-tech","distrib-ledger-tech","StarsFaLL7","https://github.com/StarsFaLL7/distrib-ledger-tech",0,0
"A2Zwholesalediscounters/scaffold-eth-2","scaffold-eth-2","A2Zwholesalediscounters","https://github.com/A2Zwholesalediscounters/scaffold-eth-2",0,0
"Kalic98/marvel","marvel","Kalic98","https://github.com/Kalic98/marvel",1,2
"0xJonaseb11/dvoting","dvoting","0xJonaseb11","https://github.com/0xJonaseb11/dvoting",0,0
"portdeveloper/se2-foundry-monad","se2-foundry-monad","portdeveloper","https://github.com/portdeveloper/se2-foundry-monad",1,0
"wirami/escrow-deal","escrow-deal","wirami","https://github.com/wirami/escrow-deal",0,0
"8ball030/derolas_staking","derolas_staking","8ball030","https://github.com/8ball030/derolas_staking",0,0
"NeelBareja/Web3-Profile-System","Web3-Profile-System","NeelBareja","https://github.com/NeelBareja/Web3-Profile-System",0,0
"AyushSagar99/multiSig","multiSig","AyushSagar99","https://github.com/AyushSagar99/multiSig",0,0
